ลำดับ,วันที่เอกสาร (Date),เลขที่ PL (Packing No.),เลขตู้ (Container No.),No. Item (Part Number),No. BDL (มัดที่),ขนาด / Description (MM),ยอดตาม PL (PCS),ปริมาตร (M3),ยอดรับเข้าแล้ว (PCS),ยอดคงเหลือ (PCS),สถานะการตรวจรับ,อัปเดตล่าสุด
1,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,1,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
2,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,2,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
3,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,3,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
4,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,4,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
5,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,5,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
6,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,6,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
7,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,7,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
8,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,8,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
9,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,9,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
10,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x520,10,17 x 100 x 520 MM,1266,1.119,0,1266,⏳ ยังไม่รับ,-
11,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x470,11,17 x 100 x 470 MM,1266,1.012,0,1266,⏳ ยังไม่รับ,-
12,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x470,12,17 x 100 x 470 MM,1266,1.012,0,1266,⏳ ยังไม่รับ,-
13,2026-07-21,PL-28/ASN/TM/VII/26,TRHU 5939460/ID49590AA,S4S 17x100x470,13,17 x 100 x 470 MM,1266,1.012,0,1266,⏳ ยังไม่รับ,-
